timestamp,ambient_temperature,humidity,factory_load
2024-01-01 00:00:00,31.52,62.64,79.28
2024-01-01 00:15:00,24.8,73.49,86.88
2024-01-01 00:30:00,33.75,37.92,84.24
2024-01-01 00:45:00,34.7,55.72,97.65
2024-01-01 01:00:00,20.24,72.44,87.88
2024-01-01 01:15:00,23.49,60.98,86.78
2024-01-01 01:30:00,30.64,82.01,73.08
2024-01-01 01:45:00,28.42,36.36,67.06
2024-01-01 02:00:00,29.92,34.65,95.9
2024-01-01 02:15:00,25.73,71.55,76.12
2024-01-01 02:30:00,34.4,72.99,76.21
2024-01-01 02:45:00,33.89,57.1,94.63
2024-01-01 03:00:00,30.33,66.01,94.13
2024-01-01 03:15:00,35.64,71.18,82.98
2024-01-01 03:30:00,32.34,47.79,83.1
2024-01-01 03:45:00,25.7,49.4,78.36
2024-01-01 04:00:00,31.84,62.85,87.71
2024-01-01 04:15:00,25.21,73.56,75.35
2024-01-01 04:30:00,34.39,42.51,71.58
2024-01-01 04:45:00,29.75,57.03,69.31
2024-01-01 05:00:00,29.08,56.34,84.41
2024-01-01 05:15:00,26.6,66.27,77.99
2024-01-01 05:30:00,36.11,59.87,87.5
2024-01-01 05:45:00,29.23,51.81,77.92
2024-01-01 06:00:00,27.86,78.73,68.34
2024-01-01 06:15:00,28.24,51.91,97.67
2024-01-01 06:30:00,32.66,55.62,97.72
2024-01-01 06:45:00,31.83,36.13,87.1
2024-01-01 07:00:00,32.06,49.3,89.96
2024-01-01 07:15:00,32.15,67.74,75.6
2024-01-01 07:30:00,40.71,64.81,77.07
2024-01-01 07:45:00,27.97,68.99,75.28
2024-01-01 08:00:00,27.44,68.26,81.21
2024-01-01 08:15:00,25.93,90.0,100.0
2024-01-01 08:30:00,33.08,48.78,84.99
2024-01-01 08:45:00,35.64,35.71,56.77
2024-01-01 09:00:00,29.43,44.24,76.55
2024-01-01 09:15:00,25.8,49.45,86.27
2024-01-01 09:30:00,25.88,45.39,81.1
2024-01-01 09:45:00,33.25,61.4,70.92
2024-01-01 10:00:00,33.72,78.79,75.2
2024-01-01 10:15:00,32.72,83.09,72.74
2024-01-01 10:30:00,26.67,67.56,86.0
2024-01-01 10:45:00,31.16,90.0,80.87
2024-01-01 11:00:00,30.58,54.65,88.05
2024-01-01 11:15:00,31.09,35.51,81.82
2024-01-01 11:30:00,34.36,75.8,87.55
2024-01-01 11:45:00,31.12,32.42,69.19
2024-01-01 12:00:00,33.39,48.67,79.33
2024-01-01 12:15:00,30.34,67.8,81.63
2024-01-01 12:30:00,31.45,58.46,88.22
2024-01-01 12:45:00,33.16,57.14,92.87
2024-01-01 13:00:00,22.71,42.29,72.89
2024-01-01 13:15:00,28.4,59.84,81.36
2024-01-01 13:30:00,27.65,75.05,85.59
2024-01-01 13:45:00,26.81,60.3,85.79
2024-01-01 14:00:00,28.62,47.55,76.85
2024-01-01 14:15:00,37.47,41.29,93.18
2024-01-01 14:30:00,25.67,47.86,75.83
2024-01-01 14:45:00,34.84,65.89,84.13
2024-01-01 15:00:00,21.59,65.15,77.18
2024-01-01 15:15:00,28.33,47.99,72.22
2024-01-01 15:30:00,30.81,30.0,82.68
2024-01-01 15:45:00,32.93,66.3,85.02
2024-01-01 16:00:00,33.56,46.53,78.68
2024-01-01 16:15:00,33.97,70.34,92.5
2024-01-01 16:30:00,28.26,48.66,82.61
2024-01-01 16:45:00,27.69,45.18,65.75
2024-01-01 17:00:00,34.29,62.3,92.41
2024-01-01 17:15:00,29.04,90.0,90.53
2024-01-01 17:30:00,23.62,71.24,85.74
2024-01-01 17:45:00,24.33,62.04,89.21
2024-01-01 18:00:00,25.4,65.38,91.64
2024-01-01 18:15:00,32.49,33.73,74.34
2024-01-01 18:30:00,30.71,43.16,89.71
2024-01-01 18:45:00,33.45,30.0,82.99
2024-01-01 19:00:00,27.86,85.95,88.54
2024-01-01 19:15:00,30.79,82.91,94.96
2024-01-01 19:30:00,33.13,65.89,86.68
2024-01-01 19:45:00,28.45,62.03,67.83
2024-01-01 20:00:00,32.28,36.73,66.63
2024-01-01 20:15:00,26.69,56.71,88.51
2024-01-01 20:30:00,28.18,86.89,77.81
2024-01-01 20:45:00,28.09,61.97,64.89
2024-01-01 21:00:00,24.02,51.53,70.04
2024-01-01 21:15:00,32.43,33.63,84.18
2024-01-01 21:30:00,27.65,80.7,71.58
2024-01-01 21:45:00,30.06,58.95,79.88
2024-01-01 22:00:00,32.4,33.65,61.9
2024-01-01 22:15:00,32.23,46.14,73.13
2024-01-01 22:30:00,33.33,40.84,79.19
2024-01-01 22:45:00,29.51,58.02,71.78
2024-01-01 23:00:00,27.88,63.11,87.43
2024-01-01 23:15:00,29.6,52.45,67.28
2024-01-01 23:30:00,21.56,71.66,73.85
2024-01-01 23:45:00,22.76,61.18,82.93
2024-01-02 00:00:00,23.39,75.93,68.0
2024-01-02 00:15:00,25.01,54.64,63.52
2024-01-02 00:30:00,32.0,90.0,76.44
2024-01-02 00:45:00,25.47,51.53,88.99
2024-01-02 01:00:00,28.11,46.45,81.87
2024-01-02 01:15:00,36.5,44.61,98.79
2024-01-02 01:30:00,28.22,56.84,79.89
2024-01-02 01:45:00,33.69,34.21,82.84
2024-01-02 02:00:00,25.33,64.42,89.8
2024-01-02 02:15:00,28.97,31.42,88.81
2024-01-02 02:30:00,25.25,62.43,91.39
2024-01-02 02:45:00,28.3,39.73,79.77
2024-01-02 03:00:00,34.2,54.28,83.96
2024-01-02 03:15:00,21.36,69.07,98.69
2024-01-02 03:30:00,32.17,90.0,55.82
2024-01-02 03:45:00,31.19,43.83,94.08
2024-01-02 04:00:00,27.03,57.75,85.13
2024-01-02 04:15:00,22.77,49.14,81.42
2024-01-02 04:30:00,30.36,46.95,82.02
2024-01-02 04:45:00,27.35,49.28,79.03
2024-01-02 05:00:00,31.16,72.36,65.49
2024-01-02 05:15:00,30.11,52.68,97.84
2024-01-02 05:30:00,38.01,90.0,87.08
2024-01-02 05:45:00,28.8,66.24,91.07
2024-01-02 06:00:00,24.88,44.85,77.79
2024-01-02 06:15:00,30.9,54.5,80.49
2024-01-02 06:30:00,31.1,47.97,89.98
2024-01-02 06:45:00,36.8,72.0,78.83
2024-01-02 07:00:00,34.18,35.42,86.5
2024-01-02 07:15:00,31.78,39.89,94.37
2024-01-02 07:30:00,37.32,51.13,100.0
2024-01-02 07:45:00,24.06,70.24,75.05
2024-01-02 08:00:00,26.8,78.5,70.03
2024-01-02 08:15:00,25.37,80.71,86.06
2024-01-02 08:30:00,28.05,67.95,88.61
2024-01-02 08:45:00,23.12,58.76,74.22
2024-01-02 09:00:00,33.18,71.92,83.37
2024-01-02 09:15:00,28.89,42.83,69.77
2024-01-02 09:30:00,22.65,32.33,75.62
2024-01-02 09:45:00,24.92,66.55,96.49
2024-01-02 10:00:00,31.57,44.91,79.61
2024-01-02 10:15:00,34.19,59.02,88.31
2024-01-02 10:30:00,39.98,61.79,74.45
2024-01-02 10:45:00,44.57,63.72,87.07
2024-01-02 11:00:00,32.07,74.07,79.92
2024-01-02 11:15:00,25.05,72.48,89.62
2024-01-02 11:30:00,20.0,62.93,77.92
2024-01-02 11:45:00,31.34,53.37,82.06
2024-01-02 12:00:00,25.94,61.62,84.62
2024-01-02 12:15:00,27.92,51.06,75.5
2024-01-02 12:30:00,26.94,57.05,77.82
2024-01-02 12:45:00,29.3,90.0,90.12
2024-01-02 13:00:00,35.33,62.73,96.19
2024-01-02 13:15:00,30.79,66.75,95.14
2024-01-02 13:30:00,29.21,49.42,84.64
2024-01-02 13:45:00,24.82,75.3,89.78
2024-01-02 14:00:00,21.63,71.4,89.8
2024-01-02 14:15:00,27.57,71.51,67.85
2024-01-02 14:30:00,29.73,63.22,100.0
2024-01-02 14:45:00,38.84,75.51,84.28
2024-01-02 15:00:00,30.65,79.08,74.57
2024-01-02 15:15:00,34.91,64.25,75.54
2024-01-02 15:30:00,27.5,58.28,71.4
2024-01-02 15:45:00,24.08,73.42,81.42
2024-01-02 16:00:00,25.17,46.44,100.0
2024-01-02 16:15:00,26.37,49.23,79.09
2024-01-02 16:30:00,40.64,59.2,82.55
2024-01-02 16:45:00,25.89,33.88,89.63
2024-01-02 17:00:00,34.19,72.41,92.91
2024-01-02 17:15:00,25.49,45.56,77.19
2024-01-02 17:30:00,34.66,52.93,84.31
2024-01-02 17:45:00,31.92,56.8,86.45
2024-01-02 18:00:00,29.22,60.59,80.21
2024-01-02 18:15:00,29.8,54.85,86.39
2024-01-02 18:30:00,26.73,58.99,86.27
2024-01-02 18:45:00,32.23,59.11,82.68
2024-01-02 19:00:00,27.73,53.29,88.54
2024-01-02 19:15:00,23.87,48.4,97.32
2024-01-02 19:30:00,23.61,76.22,95.63
2024-01-02 19:45:00,30.86,30.0,90.38
2024-01-02 20:00:00,37.9,56.91,78.97
2024-01-02 20:15:00,30.8,52.97,80.47
2024-01-02 20:30:00,29.41,66.28,96.8
2024-01-02 20:45:00,31.43,38.19,72.3
2024-01-02 21:00:00,36.53,52.5,90.94
2024-01-02 21:15:00,31.1,58.46,65.21
2024-01-02 21:30:00,27.95,76.05,83.05
2024-01-02 21:45:00,35.53,64.98,79.99
2024-01-02 22:00:00,32.14,42.25,89.28
2024-01-02 22:15:00,37.68,52.69,84.88
2024-01-02 22:30:00,30.92,73.29,82.81
2024-01-02 22:45:00,23.88,41.99,81.14
2024-01-02 23:00:00,23.16,58.82,81.08
2024-01-02 23:15:00,38.25,59.86,76.39
2024-01-02 23:30:00,38.62,54.21,74.46
2024-01-02 23:45:00,29.1,90.0,89.4
2024-01-03 00:00:00,28.08,53.81,68.81
2024-01-03 00:15:00,37.31,66.75,72.2
2024-01-03 00:30:00,24.46,48.51,100.0
2024-01-03 00:45:00,25.53,67.92,82.23
2024-01-03 01:00:00,33.22,73.06,85.25
2024-01-03 01:15:00,28.03,51.18,84.16
2024-01-03 01:30:00,29.97,59.18,92.09
2024-01-03 01:45:00,29.18,46.57,67.8
2024-01-03 02:00:00,31.69,42.83,82.64
2024-01-03 02:15:00,37.04,75.55,95.82
2024-01-03 02:30:00,30.45,51.69,76.77
2024-01-03 02:45:00,33.22,30.0,84.71
2024-01-03 03:00:00,20.0,86.48,81.56
2024-01-03 03:15:00,29.76,47.97,78.67
2024-01-03 03:30:00,25.78,56.3,100.0
2024-01-03 03:45:00,23.91,84.61,96.72
2024-01-03 04:00:00,25.61,57.87,91.34
2024-01-03 04:15:00,28.33,57.55,93.19
2024-01-03 04:30:00,34.58,41.58,81.97
2024-01-03 04:45:00,23.37,35.48,82.19
2024-01-03 05:00:00,30.15,57.5,81.81
2024-01-03 05:15:00,27.58,65.44,93.51
2024-01-03 05:30:00,28.36,64.58,96.28
2024-01-03 05:45:00,35.01,52.78,80.62
2024-01-03 06:00:00,32.69,60.3,97.51
2024-01-03 06:15:00,36.69,32.44,74.49
2024-01-03 06:30:00,29.23,66.9,82.43
2024-01-03 06:45:00,26.52,62.42,85.94
2024-01-03 07:00:00,28.88,89.6,89.96
2024-01-03 07:15:00,31.21,60.11,89.99
2024-01-03 07:30:00,30.88,45.86,87.88
2024-01-03 07:45:00,24.58,59.24,78.72
2024-01-03 08:00:00,30.45,55.08,83.95
2024-01-03 08:15:00,31.14,66.52,94.93
2024-01-03 08:30:00,42.59,60.4,85.52
2024-01-03 08:45:00,39.38,41.1,72.01
2024-01-03 09:00:00,25.73,35.46,85.49
2024-01-03 09:15:00,28.56,63.94,84.26
2024-01-03 09:30:00,22.68,80.75,80.31
2024-01-03 09:45:00,27.05,61.19,70.85
2024-01-03 10:00:00,31.58,72.2,84.02
2024-01-03 10:15:00,36.03,75.19,93.25
2024-01-03 10:30:00,26.35,64.0,77.05
2024-01-03 10:45:00,26.73,47.78,75.41
2024-01-03 11:00:00,20.0,62.93,92.25
2024-01-03 11:15:00,29.19,78.11,82.06
2024-01-03 11:30:00,24.69,67.95,81.9
2024-01-03 11:45:00,27.35,71.22,80.83
2024-01-03 12:00:00,25.62,53.06,89.93
2024-01-03 12:15:00,29.53,56.96,94.86
